,price,volume,rsi,macd
2008-05-28,5.68388567033359,26570700.0,61.06658841116386,0.16432321116249682
2008-05-27,5.66625744890803,28210900.0,60.569849094518936,0.16634747372681602
2008-05-23,5.50638771666936,32389900.0,55.823368136972626,0.16830644269075812
2008-05-22,5.38116655757747,43097700.0,51.58445072173712,0.18463635119353494
2008-05-21,5.41581513072425,41344900.0,52.888353938904125,0.2155434236818028
2008-05-20,5.6501489017433,34637500.0,62.86816103416219,0.2483290553201476
2008-05-19,5.5802438857454,33779300.0,60.82024280914072,0.2627039458483118
2008-05-16,5.70242873566416,27348900.0,66.79974900392358,0.28434798672079786
2008-05-15,5.76655595012241,31186000.0,70.16142541466856,0.2953970434540114
2008-05-14,5.66109055642123,32743700.0,67.67731171901794,0.29867365703477766
2008-05-13,5.7735464517222,29401300.0,73.75704414841226,0.309249757988753
2008-05-12,5.71883817833254,29234400.0,72.64702083740707,0.3068004755686191
2008-05-09,5.57568486296293,24038300.0,69.51383733871384,0.304782045107415
2008-05-08,5.62461837416146,32110200.0,72.13658845755378,0.31234821077300357
2008-05-07,5.54954646567675,41326200.0,70.55388244174833,0.31247982165289745
2008-05-06,5.67324795050782,32816800.0,77.26951494100147,0.3157463291794542
2008-05-05,5.61458852404002,30519900.0,76.27514547607817,0.30272784645157547
2008-05-02,5.49939721506957,35931500.0,74.21857698133385,0.2876808105163269
2008-05-01,5.47082733896608,32270600.0,73.69339676808198,0.27601944250118304
2008-04-30,5.28694675340638,40697300.0,70.0468019914727,0.2600294010014643
2008-04-29,5.32037958714451,32981300.0,71.72540646473908,0.25456043454788
2008-04-28,5.23497389368621,28114800.0,70.02127883459258,0.2404732770639999
2008-04-25,5.15868624579284,35445500.0,68.44376319995706,0.22769100081576177
2008-04-24,5.13467539247183,60573800.0,67.950878444239,0.21583176872347032
2008-04-23,4.95079480691213,53721100.0,63.94633303613296,0.20000044637328873
2008-04-22,4.86903633167981,51413300.0,61.98522395607622,0.19560721170152284
2008-04-21,5.11096847400297,37112600.0,72.87759551318639,0.19547915021028306
2008-04-18,4.89456685926165,36670200.0,68.24244833639729,0.1678392732309577
2008-04-17,4.69548953109372,25152400.0,62.813769928718166,0.15215305977673843
2008-04-16,4.6714786777727,28420500.0,62.087955810647635,0.15018830351187962
2008-04-15,4.50978533642103,24929900.0,56.81746236689411,0.14794074434815574
2008-04-14,4.49154924529115,30181700.0,56.17948318770816,0.1593834982171991
2008-04-11,4.4720974147526,43217000.0,55.528721463698915,0.1735270733692067
2008-04-10,4.69731314020671,34134400.0,66.07893041392013,0.1910359382417779
2008-04-09,4.60278940118346,31192800.0,63.366360422449176,0.18767385644028867
2008-04-08,4.64534028048653,36224800.0,65.5577438735439,0.19027705118416893
2008-04-07,4.73804041039679,41368800.0,70.48912848658685,0.18649955492918568
2008-04-04,4.65263471693848,30514900.0,68.45940660604225,0.16952681659208224
2008-04-03,4.60795629367026,37556000.0,67.36920067055425,0.1540934383889594
2008-04-02,4.48273513457837,37320300.0,64.1436819095643,0.13670255238408036
2008-04-01,4.54474088376851,36877400.0,67.19787842966093,0.12526684786525788
2008-03-31,4.36146512856462,27430900.0,62.266627652286715,0.10253535457474339
2008-03-28,4.34657232080855,25521800.0,61.83369317291472,0.09069108396543246
2008-03-27,4.26268630161107,35708200.0,59.39710654851116,0.07577070322885149
2008-03-26,4.40887896550233,42217300.0,66.24059000036661,0.06416587445093835
2008-03-25,4.2848735458191,37585400.0,62.87118322639578,0.03353549994982341
2008-03-24,4.2408029922552,38104300.0,61.60662737250923,0.006578221045968391
2008-03-20,4.05053977480005,32456700.0,55.53561942679012,-0.023437569061842023
2008-03-19,3.94112322802073,36090600.0,51.434773630205854,-0.04203546710856809
2008-03-18,4.03686270645263,43040000.0,55.601252013650964,-0.05402112905818912
2008-03-17,3.85176638148428,38307100.0,48.0459106247029,-0.07828144987337993
2008-03-14,3.8481191632583,41308600.0,47.88364119691511,-0.08926163062801473
2008-03-13,3.88854249859622,45075100.0,49.473941683911704,-0.10160662994451464
2008-03-12,3.83049094183275,37843900.0,47.13253105326897,-0.12000125405278794
2008-03-11,3.87061338166702,41569400.0,48.577251729006484,-0.1358233066215715
2008-03-10,3.63779624556028,35699600.0,38.40403451246474,-0.15812758131435833
2008-03-07,3.71560356771446,43945100.0,40.91602081849247,-0.1605908914268026
2008-03-06,3.67548416722871,52632100.0,39.00582422728088,-0.1693213034416301
2008-03-05,3.78368193525085,43637000.0,42.442068725409044,-0.1739167441319469
2008-03-04,3.78763612767751,63763700.0,42.56933292708173,-0.18826899944246778
2008-03-03,3.69979895540189,56894400.0,38.783010960333215,-0.20425184673035623
2008-02-29,3.7997935217641,44838600.0,41.68838551366114,-0.21273741468457485
2008-02-28,3.94841766447268,57794800.0,46.49568938134813,-0.23065498759851755
2008-02-27,3.73718294221816,52683500.0,36.89137211085473,-0.26530198446484565
2008-02-26,3.62138376354338,53746000.0,30.54481993588449,-0.2841576780615549
2008-02-25,3.6393159198211,44884800.0,30.993002671582545,-0.2923007352881193
2008-02-22,3.63080574396049,54638500.0,30.54389620568179,-0.300268409910474
2008-02-21,3.69402419321076,33504100.0,31.97954800172404,-0.30520402892395593
2008-02-20,3.76332133950433,34551400.0,33.5863964669157,-0.3135011297859336
2008-02-19,3.71347602374931,35894500.0,31.28013129859545,-0.32658694062095295
2008-02-15,3.78794006252968,32189300.0,32.86319936743301,-0.33346367880083516
2008-02-14,3.87395362569231,34074900.0,34.74951992852078,-0.3449723096073285
2008-02-13,3.93291698701228,34590500.0,36.06732193511066,-0.36340147303715886
2008-02-12,3.79493056412947,43785000.0,30.325572968206316,-0.38764148972327117
2008-02-11,3.9344366612731,42908300.0,33.11782952630047,-0.3988926172040488
2008-02-08,3.81377452496368,48427600.0,27.776916993204395,-0.4216553299202612
2008-02-07,3.68490614764582,74404700.0,21.5653101885635,-0.4322900609276994
2008-02-06,3.70800519641034,56188300.0,21.87850066134814,-0.4264548455640629
